date, pm25, pm10, o3, no2, so2, co
2026/1/2, 78, 14, 12, 10, , 
2026/1/3, 51, 11, 12, 8, , 
2026/1/4, 28, 14, 15, 6, , 
2026/1/5, 29, 3, 29, 2, , 
2026/1/6, 10, , , , , 
2026/1/8, 31, 11, 18, 8, , 
2026/1/9, 39, 4, 32, 1, , 
2026/1/10, 10, 3, 31, 2, , 
2026/1/11, 15, 14, 20, 11, , 
2026/1/12, 44, 17, 10, 15, , 
2026/1/13, 59, 17, 18, 14, , 
2026/1/14, 51, 7, 24, 6, , 
2026/1/15, 25, 8, 27, 8, , 
2026/1/16, 28, 6, 22, 6, , 
2026/1/17, 22, 4, 25, 4, , 
2026/1/18, 16, 7, 23, 5, , 
2026/1/19, 28, 9, 7, 7, , 
2026/1/20, 34, 13, 22, 10, , 
2026/1/21, 36, 10, 30, 10, , 
2026/1/22, 34, 3, 29, 1, , 
2026/1/23, 9, 5, 32, 3, , 
2026/1/24, 16, 3, 31, 1, , 
2026/1/25, 12, 7, 35, , , 
2026/1/26, 17, 6, 28, 3, , 
2026/1/27, 15, 3, 30, , , 
2026/1/28, 13, , , , , 
2025/10/2, 31, 13, 41, 8, , 
2025/10/3, 24, 17, 45, 9, , 
2025/10/4, 30, 16, 41, 6, , 
2025/10/5, 38, 7, 31, 2, , 
2025/10/6, 14, 12, 36, 7, , 
2025/10/7, 23, 22, 39, 13, , 
2025/10/8, 40, 22, 43, 9, , 
2025/10/9, 45, 12, 36, 3, , 
2025/10/10, 24, 10, 33, 2, , 
2025/10/11, 17, 10, 34, 2, , 
2025/10/12, 20, 18, 36, 3, , 
2025/10/13, 28, 26, 37, 6, , 
2025/10/14, 43, 23, 40, 9, , 
2025/10/15, 40, 23, 37, 10, , 
2025/10/16, 39, 20, 35, 9, , 
2025/10/17, 33, 16, 34, 7, , 
2025/10/18, 33, 17, 37, 10, , 
2025/10/19, 39, 17, 37, 8, , 
2025/10/20, 38, 10, 30, 1, , 
2025/10/21, 26, 13, 23, 2, , 
2025/10/22, 43, 12, 26, 1, , 
2025/10/23, 30, 9, 37, 1, , 
2025/10/24, 38, 5, 24, 1, , 
2025/10/25, 15, 4, 26, 2, , 
2025/10/26, 12, 4, 27, 2, , 
2025/10/27, 12, 4, 5, 7, , 
2025/10/28, 14, , , , , 
2025/10/31, 26, 14, 13, 10, , 
2025/11/1, 33, 8, 31, 5, , 
2025/11/2, 21, 5, 31, 2, , 
2025/11/3, 15, 11, 26, 11, , 
2025/11/4, 25, 16, 22, 14, , 
2025/11/5, 43, 14, 30, 9, , 
2025/11/6, 39, 4, 26, 1, , 
2025/11/7, 11, 7, 24, 3, , 
2025/11/8, 18, 5, 29, 2, , 
2025/11/9, 14, 11, 23, 10, , 
2025/11/10, 37, 15, 21, 10, , 
2025/11/11, 47, 18, 22, 14, , 
2025/11/12, 50, 15, 25, 10, , 
2025/11/13, 38, 19, 20, 13, , 
2025/11/14, 49, 5, 29, 4, , 
2025/11/15, 15, 5, 27, 2, , 
2025/11/16, 13, , , , , 
2025/11/17, 25, 8, 22, 10, , 
2025/11/18, 23, 8, 24, 8, , 
2025/11/19, 25, 11, 27, 9, , 
2025/11/20, 36, 7, 29, 6, , 
2025/11/21, 24, 3, 29, 3, , 
2025/11/22, 10, 10, 26, 8, , 
2025/11/23, 32, 11, 22, 6, , 
2025/11/24, 34, 4, 26, 1, , 
2025/11/25, 16, 3, 27, 3, , 
2025/11/26, 10, 7, 27, 10, , 
2025/11/27, 19, 13, 29, 14, , 
2025/11/28, 35, , , , , 
2025/12/1, 10, 9, 20, 8, , 
2025/12/2, 28, 10, 20, 6, , 
2025/12/3, 40, 4, 28, 3, , 
2025/12/4, 13, 6, 29, 2, , 
2025/12/5, 15, 9, 29, 3, , 
2025/12/6, 21, 3, 25, 1, , 
2025/12/7, 10, 6, 21, 4, , 
2025/12/8, 16, 13, 20, 10, , 
2025/12/9, 45, 19, 9, 15, , 
2025/12/10, 55, 14, 9, 19, , 
2025/12/11, 45, 18, 16, 10, , 
2025/12/12, 44, 21, 20, 13, , 
2025/12/13, 56, 9, 24, 7, , 
2025/12/14, 24, 8, 16, 8, , 
2025/12/15, 26, 12, 23, 11, , 
2025/12/16, 33, 7, 26, 7, , 
2025/12/17, 19, 8, 25, 7, , 
2025/12/18, 16, 14, 14, 15, , 
2025/12/19, 38, 21, 3, 18, , 
