date, pm25, pm10, o3, no2, so2, co
2026/1/2, 78, 14, , 17, , 
2026/1/3, 48, 14, , 13, , 
2026/1/4, 31, 15, , 9, , 
2026/1/5, 27, 5, , 7, , 
2026/1/6, 13, , , , , 
2026/1/8, 27, 15, , 15, , 
2026/1/9, 40, 6, , 6, , 
2026/1/10, 11, 6, , 8, , 
2026/1/11, 17, 19, , 21, , 
2026/1/12, 52, 17, , 22, , 
2026/1/13, 52, 17, , 19, , 
2026/1/14, 49, 10, , 13, , 
2026/1/15, 25, 13, , 18, , 
2026/1/16, 38, 8, , 10, , 
2026/1/17, 21, 6, , 11, , 
2026/1/18, 21, 10, , 12, , 
2026/1/19, 33, 12, , 18, , 
2026/1/20, 28, 17, , 22, , 
2026/1/21, 41, 10, , 17, , 
2026/1/22, 31, 6, , 6, , 
2026/1/23, 14, 6, , 9, , 
2026/1/24, 15, 4, , 5, , 
2026/1/25, 10, 9, , 4, , 
2026/1/26, 17, 8, , 9, , 
2026/1/27, 21, 6, , 1, , 
2026/1/28, 16, , , , , 
2025/10/2, 38, 15, , 14, , 
2025/10/3, 27, 21, , 17, , 
2025/10/4, 38, 23, , 15, , 
2025/10/5, 46, 7, , 4, , 
2025/10/6, 13, 15, , 12, , 
2025/10/7, 26, 22, , 13, , 
2025/10/8, 41, 24, , 15, , 
2025/10/9, 46, 13, , 6, , 
2025/10/10, 24, 11, , 4, , 
2025/10/11, 22, 11, , 4, , 
2025/10/12, 22, 17, , 5, , 
2025/10/13, 29, 24, , 8, , 
2025/10/14, 37, 27, , 16, , 
2025/10/15, 43, 24, , 15, , 
2025/10/16, 41, 23, , 13, , 
2025/10/17, 32, 18, , 14, , 
2025/10/18, 30, 21, , 14, , 
2025/10/19, 40, 18, , 12, , 
2025/10/20, 33, 11, , 4, , 
2025/10/21, 22, 5, , 4, , 
2025/10/22, 14, 9, , 2, , 
2025/10/23, 20, 9, , 5, , 
2025/10/24, 20, 7, , 4, , 
2025/10/25, 15, 7, , 3, , 
2025/10/26, 19, 5, , 4, , 
2025/10/27, 16, 8, , 10, , 
2025/10/28, 22, , , , , 
2025/10/31, 35, 16, , 16, , 
2025/11/1, 41, 10, , 6, , 
2025/11/2, 27, 5, , 4, , 
2025/11/3, 14, 14, , 18, , 
2025/11/4, 31, 23, , 22, , 
2025/11/5, 52, 16, , 11, , 
2025/11/6, 39, 6, , 5, , 
2025/11/7, 14, 8, , 6, , 
2025/11/8, 22, 6, , 7, , 
2025/11/9, 15, 11, , 13, , 
2025/11/10, 33, 19, , 15, , 
2025/11/11, 56, 18, , 15, , 
2025/11/12, 49, 17, , 14, , 
2025/11/13, 40, 21, , 15, , 
2025/11/14, 50, 6, , 6, , 
2025/11/15, 17, 4, , 3, , 
2025/11/16, 11, , , , , 
2025/11/17, 25, 9, , 17, , 
2025/11/18, 23, 11, , 15, , 
2025/11/19, 28, 14, , 19, , 
2025/11/20, 35, 16, , 19, , 
2025/11/21, 35, 7, , 13, , 
2025/11/22, 14, 15, , 18, , 
2025/11/23, 38, 12, , 11, , 
2025/11/24, 35, 5, , 5, , 
2025/11/25, 15, 7, , 10, , 
2025/11/26, 15, 14, , 23, , 
2025/11/27, 23, 21, , 24, , 
2025/11/28, 48, , , , , 
2025/12/1, 15, 11, , 15, , 
2025/12/2, 26, 13, , 14, , 
2025/12/3, 40, 8, , 11, , 
2025/12/4, 22, 8, , 7, , 
