date, pm25, pm10, o3, no2, so2, co
2025/11/1, 45, 11, , 7, , 
2025/11/2, 39, 20, , 19, , 
2025/11/3, 49, 29, , 22, , 
2025/11/4, 62, 23, , 17, , 
2025/11/5, 55, 11, , 7, , 
2025/11/6, 34, 12, , 9, , 
2025/11/7, 39, 10, , 8, , 
2025/11/8, 32, 17, , 16, , 
2025/11/9, 45, 21, , 16, , 
2025/11/10, 57, 27, , 22, , 
2025/11/11, 61, 28, , 25, , 
2025/11/12, 54, 28, , 21, , 
2025/11/13, 62, 11, , 11, , 
2025/11/14, 33, 7, , 6, , 
2025/11/15, 23, , , , , 
2025/10/1, 52, 24, , 21, , 
2025/10/2, 42, 28, , 21, , 
2025/10/3, 40, 29, , 19, , 
2025/10/4, 53, 13, , 8, , 
2025/10/5, 26, 24, , 16, , 
2025/10/6, 40, 35, , 23, , 
2025/10/7, 56, 32, , 19, , 
2025/10/8, 55, 20, , 12, , 
2025/10/9, 44, 16, , 10, , 
2025/10/10, 36, 14, , 8, , 
2025/10/11, 34, 22, , 9, , 
2025/10/12, 42, 32, , 14, , 
2025/10/13, 52, 35, , 19, , 
2025/10/14, 54, 44, , 24, , 
2025/10/15, 62, 33, , 18, , 
2025/10/16, 54, 29, , 20, , 
2025/10/17, 49, 32, , 22, , 
2025/10/18, 56, 24, , 16, , 
2025/10/19, 49, 13, , 6, , 
2025/10/20, 31, 17, , 6, , 
2025/10/21, 37, 15, , 5, , 
2025/10/22, 38, 19, , 5, , 
2025/10/23, 34, 10, , 7, , 
2025/10/24, 25, 8, , 6, , 
2025/10/25, 28, 8, , 8, , 
2025/10/26, 26, 8, , 11, , 
2025/10/27, 26, , , , , 
2025/10/30, 44, 23, , 21, , 
2025/10/31, 51, 15, , 10, , 
2025/7/1, 52, 28, , 15, , 
2025/7/2, 57, 33, , 12, , 
2025/7/3, 75, 28, , 14, , 
2025/7/4, 58, 28, , 10, , 
2025/7/5, 67, 29, , 8, , 
2025/7/6, 78, 21, , 9, , 
2025/7/7, 51, 23, , 10, , 
2025/7/8, 43, 30, , 10, , 
2025/7/9, 55, 32, , 14, , 
2025/7/10, 61, 23, , 7, , 
2025/7/11, 49, 12, , 3, , 
2025/7/12, 34, 16, , 6, , 
2025/7/13, 36, 23, , 13, , 
2025/7/14, 47, 24, , 13, , 
2025/7/15, 52, 24, , 13, , 
2025/7/16, 45, 36, , 20, , 
2025/7/17, 62, 24, , 9, , 
2025/7/18, 50, 10, , 3, , 
2025/7/19, 16, 10, , 2, , 
2025/7/20, 13, 13, , 10, , 
2025/7/21, 18, 17, , 13, , 
2025/7/22, 17, 20, , 15, , 
2025/7/23, 13, 12, , 7, , 
2025/7/24, 15, 9, , 7, , 
2025/7/25, 10, 8, , 7, , 
2025/7/26, 13, 9, , 6, , 
2025/7/27, 13, 11, , 10, , 
2025/7/28, 12, 10, , 8, , 
2025/7/29, 12, 12, , 12, , 
2025/7/30, 12, 20, , 11, , 
2025/7/31, 25, 19, , 11, , 
2025/8/1, 32, 26, , 14, , 
2025/8/2, 56, 23, , 9, , 
2025/8/3, 53, 24, , 14, , 
2025/8/4, 46, 44, , 19, , 
2025/8/5, 71, 36, , 13, , 
2025/8/6, 54, 45, , 23, , 
2025/8/7, 66, 51, , 16, , 
2025/8/8, 68, 47, , 17, , 
2025/8/9, 69, 39, , 11, , 
2025/8/10, 61, 37, , 12, , 
2025/8/11, 61, 46, , 13, , 
2025/8/12, 80, 33, , 13, , 
2025/8/13, 60, 36, , 17, , 
2025/8/14, 61, 34, , 13, , 
2025/8/15, 61, 41, , 16, , 
2025/8/16, 73, 44, , 13, , 
2025/8/17, 78, 59, , 16, , 
2025/8/18, 100, 54, , 9, , 
2025/8/19, 127, 38, , 9, , 
2025/8/20, 90, 23, , 10, , 
2025/8/21, 55, 23, , 11, , 
2025/8/22, 52, 29, , 11, , 
2025/8/23, 55, 32, , 14, , 
2025/8/24, 61, 37, , 17, , 
2025/8/25, 59, 52, , 12, , 
2025/8/26, 71, 53, , 9, , 
2025/8/27, 81, 14, , 3, , 
2025/8/28, 22, 19, , 3, , 
2025/8/29, 41, 15, , 4, , 
2025/8/30, 34, 19, , 6, , 
2025/8/31, 30, 10, , 3, , 
2025/9/1, 23, 15, , 9, , 
2025/9/2, 30, 18, , 13, , 
2025/9/3, 34, , , , , 
2025/9/5, 45, 36, , 10, , 
2025/9/6, 46, 38, , 7, , 
2025/9/7, 54, 18, , 10, , 
2025/9/8, 31, 14, , 8, , 
2025/9/9, 23, 9, , 5, , 
2025/9/10, 15, 10, , 6, , 
2025/9/11, 20, 17, , 11, , 
2025/9/12, 31, 22, , 12, , 
2025/9/13, 45, 20, , 14, , 
2025/9/14, 39, 30, , 20, , 
2025/9/15, 49, 31, , 21, , 
2025/9/16, 55, 35, , 25, , 
2025/9/17, 55, 43, , 25, , 
2025/9/18, 68, 40, , 17, , 
2025/9/19, 58, 44, , 12, , 
2025/9/20, 65, 20, , 3, , 
2025/9/21, 45, 8, , 7, , 
2025/9/22, 22, 10, , 9, , 
2025/9/23, 19, 12, , 13, , 
2025/9/24, 18, 15, , 16, , 
2025/9/25, 15, 20, , 18, , 
2025/9/26, 24, 30, , 21, , 
2025/9/27, 48, 23, , 13, , 
2025/9/28, 45, 14, , 8, , 
2025/9/29, 29, 16, , 13, , 
2025/9/30, 35, 21, , 18, , 
2025/4/1, 52, 7, , 12, , 
2025/4/2, 29, 3, , 17, , 
2025/4/3, 11, 5, , 15, , 
2025/4/4, 21, 3, , 10, , 
2025/4/5, 14, 7, , 16, , 
2025/4/6, 30, 10, , 16, , 
2025/4/7, 40, 13, , 20, , 
2025/4/8, 49, 16, , 22, , 
2025/4/9, 58, 13, , 16, , 
2025/4/10, 51, 8, , 13, , 
2025/4/11, 35, 12, , 12, , 
2025/4/12, 45, 10, , 10, , 
2025/4/13, 37, 7, , 9, , 
2025/4/14, 23, 3, , 5, , 
