date, pm25, pm10, o3, no2, so2, co
2026/1/2, 64, 16, , 18, , 
2026/1/3, 50, 15, , 15, , 
2026/1/4, 32, 15, , 9, , 
2026/1/5, 26, 5, , 6, , 
2026/1/6, 16, , , , , 
2026/1/8, 43, 9, , 10, , 
2026/1/9, 27, 7, , 5, , 
2026/1/10, 12, 6, , 7, , 
2026/1/11, 17, 18, , 22, , 
2026/1/12, 49, 18, , 21, , 
2026/1/13, 54, 15, , 17, , 
2026/1/14, 43, 10, , 15, , 
2026/1/15, 25, 14, , 18, , 
2026/1/16, 40, 8, , 13, , 
2026/1/17, 22, 5, , 10, , 
2026/1/18, 18, 8, , 11, , 
2026/1/19, 30, 14, , 17, , 
2026/1/20, 34, 15, , 20, , 
2026/1/21, 35, 10, , 18, , 
2026/1/22, 31, 5, , 6, , 
2026/1/23, 11, 5, , 8, , 
2026/1/24, 15, 3, , 3, , 
2026/1/25, 10, 9, , 3, , 
2026/1/26, 18, 7, , 10, , 
2026/1/27, 16, 4, , 1, , 
2026/1/28, 10, , , , , 
2025/10/2, 39, 17, , 16, , 
2025/10/3, 27, 23, , 19, , 
2025/10/4, 40, 24, , 16, , 
2025/10/5, 46, 9, , 4, , 
2025/10/6, 17, 18, , 11, , 
2025/10/7, 25, 30, , 22, , 
2025/10/8, 47, 29, , 18, , 
2025/10/9, 50, 17, , 6, , 
2025/10/10, 28, 10, , 4, , 
2025/10/11, 18, 12, , 4, , 
2025/10/12, 25, 18, , 6, , 
2025/10/13, 28, 25, , 8, , 
2025/10/14, 40, 26, , 17, , 
2025/10/15, 47, 28, , 20, , 
2025/10/16, 47, 23, , 14, , 
2025/10/17, 41, 19, , 15, , 
2025/10/18, 33, 25, , 18, , 
2025/10/19, 47, 20, , 14, , 
2025/10/20, 41, 9, , 4, , 
2025/10/21, 20, 6, , 5, , 
2025/10/22, 18, 10, , 3, , 
2025/10/23, 23, 8, , 2, , 
2025/10/24, 16, 7, , 5, , 
2025/10/25, 15, 6, , 3, , 
2025/10/26, 13, 4, , 3, , 
2025/10/27, 15, 5, , 10, , 
2025/10/28, 15, , , , , 
2025/10/31, 28, 17, , 21, , 
2025/11/1, 43, 9, , 6, , 
2025/11/2, 23, 6, , 4, , 
2025/11/3, 15, 15, , 18, , 
2025/11/4, 30, 21, , 21, , 
2025/11/5, 47, 14, , 12, , 
2025/11/6, 35, 7, , 5, , 
2025/11/7, 14, 8, , 8, , 
2025/11/8, 18, 6, , 6, , 
2025/11/9, 14, 12, , 16, , 
2025/11/10, 34, 16, , 16, , 
2025/11/11, 46, 21, , 19, , 
2025/11/12, 52, 21, , 17, , 
2025/11/13, 40, 22, , 17, , 
2025/11/14, 49, 5, , 7, , 
2025/11/15, 15, 4, , 5, , 
2025/11/16, 12, , , , , 
2025/11/17, 25, 11, , 19, , 
2025/11/18, 27, 12, , 16, , 
2025/11/19, 31, 13, , 16, , 
2025/11/20, 31, 11, , 13, , 
2025/11/21, 28, 7, , 12, , 
2025/11/22, 13, 13, , 17, , 
2025/11/23, 34, 11, , 12, , 
2025/11/24, 32, 4, , 6, , 
2025/11/25, 12, 5, , 7, , 
2025/11/26, 8, 13, , 20, , 
2025/11/27, 22, 19, , 23, , 
2025/11/28, 40, , , , , 
2025/12/1, 13, 12, , 14, , 
2025/12/2, 33, 14, , 14, , 
2025/12/3, 43, 7, , 8, , 
2025/12/4, 17, 8, , 7, , 
2025/12/5, 19, 11, , 10, , 
2025/12/6, 21, 5, , 4, , 
2025/12/7, 14, 8, , 8, , 
2025/12/8, 20, 14, , 16, , 
2025/12/9, 40, 23, , 20, , 
2025/12/10, 52, 14, , 22, , 
2025/12/11, 42, 21, , 17, , 
2025/12/12, 45, 25, , 20, , 
2025/12/13, 59, 10, , 12, , 
2025/12/14, 25, 11, , 14, , 
2025/12/15, 30, 12, , 17, , 
2025/12/16, 30, 8, , 11, , 
2025/12/17, 20, 12, , 13, , 
2025/12/18, 22, 15, , 20, , 
2025/12/19, 37, 20, , 19, , 
2025/12/20, 52, 14, , 13, , 
2025/12/21, 43, 5, , 8, , 
2025/12/22, 16, 6, , 10, , 
2025/12/23, 16, 14, , 16, , 
2025/12/24, 37, 9, , 13, , 
2025/12/25, 32, 7, , 8, , 
2025/12/26, 23, 12, , 16, , 
2025/12/27, 33, 11, , 15, , 
2025/12/28, 33, 6, , 10, , 
2025/12/29, 16, , , , , 
2025/7/2, 49, 26, , 6, , 
2025/7/3, 52, 24, , 5, , 
2025/7/4, 49, 22, , 7, , 
2025/7/5, 42, 21, , 5, , 
2025/7/6, 42, 16, , 4, , 
2025/7/7, 45, 20, , 3, , 
2025/7/8, 40, 18, , 2, , 
2025/7/9, 34, 24, , 4, , 
2025/7/10, 45, 28, , 5, , 
2025/7/11, 49, 20, , 2, , 
2025/7/12, 40, 11, , 1, , 
2025/7/13, 22, 13, , 2, , 
2025/7/14, 29, 20, , 6, , 
2025/7/15, 40, 22, , 5, , 
2025/7/16, 46, 21, , 2, , 
2025/7/17, 42, 33, , 7, , 
2025/7/18, 63, 28, , 4, , 
2025/7/19, 52, 15, , 1, , 
2025/7/20, 33, 13, , 1, , 
2025/7/21, 22, 15, , 2, , 
2025/7/22, 27, 20, , 6, , 
2025/7/23, 37, 22, , 7, , 
2025/7/24, 38, 15, , 1, , 
2025/7/25, 21, 8, , 1, , 
2025/7/26, 17, 12, , , , 
2025/7/27, 29, 13, , 1, , 
2025/7/28, 28, 15, , 2, , 
2025/7/29, 31, 13, , 1, , 
2025/7/30, 22, 13, , 4, , 
2025/7/31, 24, 22, , 5, , 
2025/8/1, 40, 22, , 4, , 
2025/8/2, 39, 22, , 4, , 
2025/8/3, 49, 20, , 1, , 
2025/8/4, 45, 23, , 6, , 
2025/8/5, 43, 40, , 11, , 
2025/8/6, 63, 39, , 4, , 
2025/8/7, 56, 42, , 13, , 
2025/8/8, 61, 49, , 9, , 
2025/8/9, 65, 42, , 7, , 
2025/8/10, 65, 37, , 2, , 
2025/8/11, 59, 36, , 5, , 
2025/8/12, 57, 44, , 4, , 
2025/8/13, 68, 32, , 6, , 
2025/8/14, 53, 30, , 7, , 
2025/8/15, 56, 30, , 7, , 
2025/8/16, 58, 36, , 8, , 
2025/8/17, 67, 39, , 5, , 
2025/8/18, 72, 55, , 8, , 
2025/8/19, 96, 54, , 3, , 
2025/8/20, 124, 35, , 3, , 
2025/8/21, 80, 20, , 2, , 
2025/8/22, 50, 17, , 2, , 
2025/8/23, 43, 22, , 6, , 
2025/8/24, 50, 31, , 11, , 
2025/8/25, 61, 34, , 10, , 
2025/8/26, 54, 50, , 5, , 
2025/8/27, 68, 49, , 2, , 
2025/8/28, 65, 13, , , , 
2025/8/29, 20, 16, , 1, , 
2025/8/30, 34, 11, , 1, , 
2025/8/31, 19, 17, , 1, , 
2025/9/1, 26, 9, , , , 
2025/9/2, 14, 15, , 5, , 
2025/9/3, 26, 18, , 4, , 
2025/9/4, 23, 15, , 2, , 
2025/9/5, 25, 24, , 3, , 
2025/9/6, 37, 22, , 2, , 
2025/9/7, 32, 25, , 2, , 
2025/9/8, 42, 19, , 2, , 
2025/9/9, 34, 15, , 2, , 
2025/9/10, 25, 10, , 1, , 
2025/9/11, 21, 10, , 1, , 
2025/9/12, 19, 12, , 4, , 
2025/9/13, 22, 16, , 5, , 
2025/9/14, 29, 13, , 7, , 
