date, pm25, pm10, o3, no2, so2, co
2026/1/2, 67, 13, , 9, , 
2026/1/3, 45, 12, , 6, , 
2026/1/4, 24, 15, , 4, , 
2026/1/5, 25, 7, , 3, , 
2026/1/6, 13, , , , , 
2026/1/8, 31, 18, , 11, , 
2026/1/9, 42, 9, , 5, , 
2026/1/10, 13, 10, , 8, , 
2026/1/11, 20, 22, , 19, , 
2026/1/12, 54, 19, , 20, , 
2026/1/13, 57, 20, , 18, , 
2026/1/14, 52, 15, , 13, , 
2026/1/15, 28, 17, , 18, , 
2026/1/16, 43, 14, , 10, , 
2026/1/17, 27, 5, , 10, , 
2026/1/18, 17, 9, , 8, , 
2026/1/19, 30, 11, , 13, , 
2026/1/20, 28, 21, , 21, , 
2026/1/21, 43, 15, , 16, , 
2026/1/22, 37, 11, , 7, , 
2026/1/23, 17, 9, , 10, , 
2026/1/24, 17, 7, , 4, , 
2026/1/25, 15, 14, , 3, , 
2026/1/26, 20, 9, , 11, , 
2026/1/27, 20, 5, , 1, , 
2026/1/28, 9, , , , , 
2025/10/2, 33, 14, , 11, , 
2025/10/3, 21, 22, , 13, , 
2025/10/4, 34, 18, , 12, , 
2025/10/5, 36, 8, , 3, , 
2025/10/6, 15, 14, , 10, , 
2025/10/7, 22, 23, , 14, , 
2025/10/8, 38, 22, , 13, , 
2025/10/9, 37, 12, , 4, , 
2025/10/10, 21, 10, , 3, , 
2025/10/11, 19, 9, , 3, , 
2025/10/12, 17, 18, , 4, , 
2025/10/13, 27, 26, , 7, , 
2025/10/14, 37, 29, , 15, , 
2025/10/15, 46, 21, , 13, , 
2025/10/16, 33, 22, , 11, , 
2025/10/17, 36, 18, , 12, , 
2025/10/18, 29, 18, , 12, , 
2025/10/19, 36, 19, , 12, , 
2025/10/20, 40, 15, , 6, , 
2025/10/21, 36, 20, , 6, , 
2025/10/22, 57, 15, , 4, , 
2025/10/23, 51, 15, , 5, , 
2025/10/24, 42, 9, , 5, , 
2025/10/25, 22, 6, , 3, , 
2025/10/26, 17, 3, , 3, , 
2025/10/27, 9, 6, , 10, , 
2025/10/28, 13, , , , , 
2025/10/31, 34, 17, , 16, , 
2025/11/1, 37, 12, , 8, , 
2025/11/2, 27, 6, , 4, , 
2025/11/3, 11, 15, , 16, , 
2025/11/4, 29, 21, , 18, , 
2025/11/5, 42, 15, , 11, , 
2025/11/6, 34, 9, , 6, , 
2025/11/7, 18, 9, , 8, , 
2025/11/8, 20, 7, , 7, , 
2025/11/9, 15, 13, , 13, , 
2025/11/10, 33, 19, , 15, , 
2025/11/11, 49, 22, , 17, , 
2025/11/12, 51, 18, , 16, , 
2025/11/13, 36, 20, , 14, , 
2025/11/14, 44, 7, , 8, , 
2025/11/15, 15, 4, , 4, , 
2025/11/16, 9, , , , , 
2025/11/17, 13, 9, , 13, , 
2025/11/18, 16, 12, , 14, , 
2025/11/19, 26, 13, , 12, , 
2025/11/20, 26, 16, , 16, , 
2025/11/21, 30, 8, , 9, , 
2025/11/22, 13, 16, , 16, , 
2025/11/23, 40, 16, , 10, , 
2025/11/24, 40, 8, , 5, , 
2025/11/25, 22, 9, , 9, , 
2025/11/26, 16, 17, , 17, , 
2025/11/27, 22, 26, , 22, , 
2025/11/28, 46, , , , , 
2025/12/1, 11, 10, , 12, , 
2025/12/2, 26, 17, , 14, , 
2025/12/3, 37, 10, , 10, , 
2025/12/4, 21, 11, , 7, , 
2025/12/5, 16, 14, , 9, , 
2025/12/6, 24, 7, , 3, , 
2025/12/7, 15, 10, , 7, , 
2025/12/8, 20, 17, , 18, , 
2025/12/9, 48, 24, , 24, , 
2025/12/10, 58, 15, , 18, , 
2025/12/11, 39, 20, , 15, , 
2025/12/12, 39, 21, , 15, , 
2025/12/13, 54, 11, , 8, , 
2025/12/14, 25, 9, , 7, , 
2025/12/15, 24, 14, , 14, , 
2025/12/16, 34, 10, , 9, , 
2025/12/17, 25, 10, , 8, , 
2025/12/18, 17, 18, , 14, , 
2025/12/19, 44, 19, , 17, , 
2025/12/20, 52, 15, , 10, , 
2025/12/21, 44, 7, , 6, , 
2025/12/22, 18, 12, , 9, , 
2025/12/23, 24, 16, , 15, , 
2025/12/24, 39, 10, , 10, , 
2025/12/25, 30, 5, , 4, , 
2025/12/26, 15, 11, , 12, , 
2025/12/27, 26, 8, , 9, , 
2025/12/28, 25, 6, , 4, , 
2025/12/29, 15, , , , , 
2025/7/2, 51, 24, , 6, , 
2025/7/3, 57, 40, , 5, , 
2025/7/4, 107, 42, , 7, , 
2025/7/5, 143, 34, , 4, , 
2025/7/6, 77, 22, , 5, , 
2025/7/7, 71, 15, , 4, , 
2025/7/8, 37, 13, , 4, , 
2025/7/9, 46, 22, , 6, , 
2025/7/10, 53, 18, , 9, , 
2025/7/11, 31, 12, , 6, , 
2025/7/12, 16, 9, , 3, , 
2025/7/13, 21, 11, , 4, , 
2025/7/14, 25, 16, , 8, , 
2025/7/15, 34, 16, , 7, , 
2025/7/16, 39, 20, , 7, , 
2025/7/17, 41, 24, , 11, , 
2025/7/18, 52, 19, , 7, , 
2025/7/19, 44, 11, , 3, , 
2025/7/20, 24, 11, , 2, , 
2025/7/21, 22, 12, , 5, , 
2025/7/22, 23, 15, , 7, , 
2025/7/23, 31, 19, , 11, , 
